Date,Open,High,Low,Close,rising,falling,stable,price_change
2024/1/4,298,344,289,314,1,0,0,5.723905723905724
2024/1/5,298,316,274,288,0,1,0,-8.280254777070063
2024/1/8,294,295,231,250,0,1,0,-13.194444444444445
2024/1/9,241,267,226,252,0,0,1,0.8
2024/1/10,247,290,237,277,1,0,0,9.920634920634921
2024/1/11,278,292,252,268,0,1,0,-3.2490974729241873
2024/1/12,271,275,223,237,0,1,0,-11.567164179104477
2024/1/15,226,277,218,263,1,0,0,10.970464135021098
2024/1/16,275,278,241,271,1,0,0,3.041825095057034
2024/1/17,257,293,241,260,0,1,0,-4.059040590405904
2024/1/18,251,281,239,264,0,0,1,1.5384615384615385
2024/1/19,256,272,235,247,0,1,0,-6.4393939393939394
2024/1/22,264,267,215,233,0,1,0,-5.668016194331984
2024/1/23,242,252,218,243,1,0,0,4.291845493562231
2024/1/24,236,271,222,250,0,0,1,2.880658436213992
2024/1/25,254,275,231,241,0,1,0,-3.5999999999999996
2024/1/26,231,262,227,251,1,0,0,4.149377593360995
2024/1/29,244,263,216,231,0,1,0,-7.968127490039841
2024/1/30,221,260,213,251,1,0,0,8.658008658008658
2024/1/31,235,282,234,274,1,0,0,9.163346613545817
2024/2/1,262,295,252,255,0,1,0,-6.934306569343065
2024/2/2,260,272,231,251,0,0,1,-1.5686274509803921
2024/2/5,252,252,193,212,0,1,0,-15.53784860557769
2024/2/6,211,227,184,202,0,1,0,-4.716981132075472
2024/2/7,200,213,181,200,0,0,1,-0.9900990099009901
2024/2/8,204,219,191,198,0,0,1,-1.0
2024/2/9,211,218,184,208,1,0,0,5.05050505050505
2024/2/12,211,245,198,243,1,0,0,16.826923076923077
2024/2/13,237,256,224,252,1,0,0,3.7037037037037033
2024/2/14,248,253,190,203,0,1,0,-19.444444444444446
2024/2/15,204,213,180,202,0,0,1,-0.49261083743842365
2024/2/16,210,211,169,186,0,1,0,-7.920792079207921
2024/2/19,187,202,172,195,1,0,0,4.838709677419355
2024/2/20,191,204,176,190,0,0,1,-2.564102564102564
2024/2/21,193,197,159,170,0,1,0,-10.526315789473683
2024/2/22,173,185,158,167,0,0,1,-1.7647058823529411
2024/2/23,182,199,164,188,1,0,0,12.574850299401197
2024/2/26,196,221,177,215,1,0,0,14.361702127659576
2024/2/27,209,221,193,210,0,0,1,-2.3255813953488373
2024/2/28,215,217,170,186,0,1,0,-11.428571428571429
2024/2/29,180,193,153,168,0,1,0,-9.67741935483871
2024/3/1,170,180,151,174,1,0,0,3.571428571428571
2024/3/4,160,183,156,175,0,0,1,0.5747126436781609
2024/3/5,175,191,160,187,1,0,0,6.857142857142858
2024/3/6,180,210,167,200,1,0,0,6.951871657754011
2024/3/7,206,211,173,189,0,1,0,-5.5
2024/3/8,194,200,169,187,0,0,1,-1.0582010582010581
2024/3/11,178,216,170,208,1,0,0,11.229946524064172
2024/3/12,215,230,192,216,1,0,0,3.8461538461538463
2024/3/13,225,225,171,187,0,1,0,-13.425925925925927
2024/3/14,188,199,164,177,0,1,0,-5.347593582887701
2024/3/15,179,188,162,176,0,0,1,-0.5649717514124294
2024/3/18,177,184,156,175,0,0,1,-0.5681818181818182
2024/3/19,163,177,147,162,0,1,0,-7.428571428571429
2024/3/20,151,180,148,173,1,0,0,6.790123456790123
2024/3/21,171,181,148,164,0,1,0,-5.202312138728324
2024/3/22,168,170,137,154,0,1,0,-6.097560975609756
2024/3/25,156,156,125,136,0,1,0,-11.688311688311687
2024/3/26,143,148,119,135,0,0,1,-0.7352941176470588
2024/3/27,137,151,119,149,1,0,0,10.37037037037037
2024/3/28,144,152,127,139,0,1,0,-6.7114093959731544
2024/4/2,119,138,114,135,0,0,1,-2.877697841726619
2024/4/3,134,140,115,131,0,0,1,-2.9629629629629632
2024/4/4,132,143,120,141,1,0,0,7.633587786259542
2024/4/5,140,146,121,134,0,1,0,-4.964539007092199
2024/4/8,136,151,123,140,1,0,0,4.477611940298507
2024/4/9,145,151,127,144,0,0,1,2.857142857142857
2024/4/10,128,148,120,134,0,1,0,-6.944444444444445
2024/4/11,138,141,118,130,0,0,1,-2.9850746268656714
2024/4/12,121,141,117,135,1,0,0,3.8461538461538463
2024/4/15,120,149,120,138,0,0,1,2.2222222222222223
2024/4/16,145,148,125,142,0,0,1,2.898550724637681
2024/4/17,143,146,118,130,0,1,0,-8.450704225352112
2024/4/18,121,138,115,128,0,0,1,-1.5384615384615385
2024/4/19,124,139,115,137,1,0,0,7.03125
2024/4/22,123,139,114,129,0,1,0,-5.839416058394161
2024/4/23,132,133,111,124,0,1,0,-3.875968992248062
2024/4/24,115,140,111,134,1,0,0,8.064516129032258
2024/4/25,139,141,117,131,0,0,1,-2.2388059701492535
2024/4/26,137,139,116,128,0,0,1,-2.2900763358778624
2024/4/29,136,144,116,138,1,0,0,7.8125
2024/4/30,139,143,120,142,0,0,1,2.898550724637681
2024/5/1,127,141,112,125,0,1,0,-11.971830985915492
2024/5/2,117,132,110,121,0,1,0,-3.2
2024/5/3,122,130,106,121,0,0,1,0.0
2024/5/7,107,124,102,114,0,1,0,-5.785123966942149
2024/5/8,120,126,103,124,1,0,0,8.771929824561402
2024/5/9,107,126,102,116,0,1,0,-6.451612903225806
2024/5/10,105,121,100,116,0,0,1,0.0
2024/5/13,111,123,101,117,0,0,1,0.8620689655172413
2024/5/14,108,123,102,118,0,0,1,0.8547008547008548
2024/5/15,121,121,98,108,0,1,0,-8.47457627118644
2024/5/16,116,118,97,115,1,0,0,6.481481481481481
2024/5/17,102,118,97,104,0,1,0,-9.565217391304348
2024/5/20,113,119,97,111,1,0,0,6.730769230769231
2024/5/21,117,118,97,113,0,0,1,1.8018018018018018
2024/5/22,117,117,97,115,0,0,1,1.7699115044247788
2024/5/23,115,116,96,100,0,1,0,-13.043478260869565
2024/5/24,111,116,96,110,1,0,0,10.0
2024/5/28,112,115,95,104,0,1,0,-5.454545454545454
2024/5/29,111,116,95,114,1,0,0,9.615384615384617
2024/5/30,109,116,94,112,0,0,1,-1.7543859649122806
2024/5/31,98,114,94,109,0,0,1,-2.6785714285714284
2024/6/3,107,113,92,110,0,0,1,0.9174311926605505
2024/6/4,108,111,92,106,0,1,0,-3.6363636363636362
2024/6/5,102,112,92,108,0,0,1,1.8867924528301887
2024/6/6,104,111,92,109,0,0,1,0.9259259259259258
2024/6/7,98,112,92,105,0,1,0,-3.669724770642202
2024/6/10,110,112,92,109,1,0,0,3.8095238095238098
2024/6/11,104,112,92,107,0,0,1,-1.834862385321101
2024/6/12,102,111,92,108,0,0,1,0.9345794392523363
2024/6/13,96,112,92,104,0,1,0,-3.7037037037037033
2024/6/14,100,112,91,100,0,1,0,-3.8461538461538463
2024/6/17,109,111,91,106,1,0,0,6.0
2024/6/18,107,111,91,101,0,1,0,-4.716981132075472
2024/6/19,107,110,91,106,1,0,0,4.9504950495049505
2024/6/20,109,111,90,109,0,0,1,2.8301886792452833
2024/6/21,106,110,90,107,0,0,1,-1.834862385321101
2024/6/24,90,109,90,108,0,0,1,0.9345794392523363
2024/6/25,105,110,90,103,0,1,0,-4.62962962962963
2024/6/26,105,110,90,106,0,0,1,2.912621359223301
2024/6/27,102,109,90,107,0,0,1,0.9433962264150944
2024/6/28,106,109,90,107,0,0,1,0.0
